scr_path,true_brand,pred_brand,phish,tagBox,siamese_conf,url
apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.png,Shopify,,0,tagBox0,0,myshopupdated.com
apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.png,Instagram,Instagram,1,tagBox1,0.95367473,oc-caught-healing-pin.trycloudflare.com
apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.png,PayPal,PayPal,1,tagBox1,0.90104616,103.157.253.194
apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.png,AT&T,AT&T,1,tagBox1,0.97161806,maricruzrvr.wixsite.com
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.png,Itau,,0,tagBox1,0.7990151,302721e7-4e4e-415a-90ef-c32e6f66c17d.id.repl.co
apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.png,Facebook,Facebook,1,tagBox1,0.87824166,images-r0y9yp964.salamazerbaycan.az
apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.png,VTB Bank,,0,tagBox0,0,193.142.59.224
apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.png,LinkedIn,,0,tagBox1,0.8823669,www.linkedin.com
apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.png,PayPal,PayPal,1,tagBox1,0.8956331,www.scurelimited-paypal-sign.cloudns.cl
apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.png,Rabobank,,0,tagBox0,0,mystifying-hodgkin.109-71-253-24.plesk.page
apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.png,Internal Revenue Service,IRS,1,tagBox1,0.9261346,web-irs-ein.com
apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.png,Chase Bank,,0,tagBox1,0.7576481,sl.al
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.png,Credit Agricole,Credit Agricole S.A,1,tagBox1,0.9574828,censor.be
apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.png,Chase Bank,,0,tagBox1,0.76557255,vacunatearg.mineolo.com
apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716.png,Microsoft,Microsoft,1,tagBox1,0.90440595,radiomanantial.cl
apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260.png,Santander Bank,Grupo Santander,1,tagBox1,0.9380722,cancellation-device-support.com
apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113.png,Amazon,Amazon,1,tagBox1,0.9526491,giorkle.com
apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941.png,Microsoft,Microsoft,1,tagBox1,0.8558549,ryanicolehoward.com
apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706.png,Facebook,Facebook,1,tagBox1,0.94408906,cfhuyatakola23.cf
apwg_sample_4190/2021-09/2021-09-03/2021-09-03-14783.png,VTB Bank,,0,tagBox0,0,185.46.8.71
apwg_sample_4190/2021-08/2021-08-29/2021-08-29-53668.png,Credit Agricole,Credit Agricole S.A,1,tagBox1,0.9633681,rebeccakontus.ee
apwg_sample_4190/2021-09/2021-09-03/2021-09-03-15314.png,Netflix,,0,tagBox0,0,fishermanager.com
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16733.png,DHL,DHL Airways,1,tagBox1,0.9448675,millestroincua.com
apwg_sample_4190/2023-07/2023-07-27/2023-07-27-35504.png,DHL,,0,tagBox1,0.79718,link.sbstck.com
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34861.png,Banco Pichincha,GMX Mail,1,tagBox1,0.8465992,hotelciudadsenoras.com
apwg_sample_4190/2021-07/2021-07-18/2021-07-18-14771.png,Halifax,Halifax Bank of Scotland Plc,1,tagBox1,0.8781843,www.lioyds-fraud-alert.com
apwg_sample_4190/2021-08/2021-08-20/2021-08-20-36500.png,Facebook,,0,tagBox1,0.6157641,128.199.174.138
apwg_sample_4190/2021-09/2021-09-27/2021-09-27-22904.png,Santander Bank,Grupo Santander,1,tagBox1,0.8706508,laraapi.technopremium.com
apwg_sample_4190/2023-05/2023-05-23/2023-05-23-27714.png,Apple,Apple,1,tagBox1,0.9122806,cleaningspot.co.uk
apwg_sample_4190/2021-08/2021-08-05/2021-08-05-17691.png,Ecco,,0,tagBox1,0.60936356,www.palladiumfrance.com
apwg_sample_4190/2022-03/2022-03-31/2022-03-31-46954.png,Adobe,Adobe,1,tagBox1,0.9154392,selincourse.buzz
apwg_sample_4190/2022-06/2022-06-24/2022-06-24-184916.png,Adobe,Adobe,1,tagBox1,0.9113275,demo.webnappmaker.in
