scr_path,domain,true_brand,pred_brand,phish,siamese_conf,url,tagBox,tagCRPHTML,tagCRPscreenshot,tagBrand
apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.png,myshopupdated.com,Shopify,,0,None,/home/fujiao/check/PhishingEval/data/phishing4190/myshopupdated.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand0
apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.png,oc-caught-healing-pin.trycloudflare.com,Instagram,Instagram,1,0.95719284,/home/fujiao/check/PhishingEval/data/phishing4190/oc-caught-healing-pin.trycloudflare.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.png,103.157.253.194,PayPal,PayPal,1,0.9395777,/home/fujiao/check/PhishingEval/data/phishing4190/103.157.253.194,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.png,maricruzrvr.wixsite.com,AT&T,AT&T,1,0.97727084,/home/fujiao/check/PhishingEval/data/phishing4190/maricruzrvr.wixsite.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.png,302721e7-4e4e-415a-90ef-c32e6f66c17d.id.repl.co,Itau,Itau Unibanco S.A,1,0.9318219,/home/fujiao/check/PhishingEval/data/phishing4190/302721e7-4e4e-415a-90ef-c32e6f66c17d.id.repl.co,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.png,images-r0y9yp964.salamazerbaycan.az,Facebook,Facebook,1,0.9631275,/home/fujiao/check/PhishingEval/data/phishing4190/images-r0y9yp964.salamazerbaycan.az,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.png,193.142.59.224,VTB Bank,,0,0,/home/fujiao/check/PhishingEval/data/phishing4190/193.142.59.224,tagBox1,tagCRPHTML0,tagCRPscreenshot0,tagBrand0
apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.png,www.linkedin.com,LinkedIn,LinkedIn Corporation,1,0.90467185,/home/fujiao/check/PhishingEval/data/phishing4190/www.linkedin.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.png,www.scurelimited-paypal-sign.cloudns.cl,PayPal,PayPal,1,0.9542912,/home/fujiao/check/PhishingEval/data/phishing4190/www.scurelimited-paypal-sign.cloudns.cl,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.png,mystifying-hodgkin.109-71-253-24.plesk.page,Rabobank,,0,0,/home/fujiao/check/PhishingEval/data/phishing4190/mystifying-hodgkin.109-71-253-24.plesk.page,tagBox0,tagCRPHTML0,tagCRPscreenshot0,tagBrand0
apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.png,web-irs-ein.com,Internal Revenue Service,IRS,1,0.9402487,/home/fujiao/check/PhishingEval/data/phishing4190/web-irs-ein.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.png,sl.al,Chase Bank,Chase Personal Banking,1,0.94521034,/home/fujiao/check/PhishingEval/data/phishing4190/sl.al,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.png,censor.be,Credit Agricole,Credit Agricole S.A,1,0.969845,/home/fujiao/check/PhishingEval/data/phishing4190/censor.be,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.png,vacunatearg.mineolo.com,Chase Bank,Chase Personal Banking,1,0.94725144,/home/fujiao/check/PhishingEval/data/phishing4190/vacunatearg.mineolo.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-10/2021-10-13/2021-10-13-26716.png,radiomanantial.cl,Microsoft,Microsoft,1,0.93374,/home/fujiao/check/PhishingEval/data/phishing4190/radiomanantial.cl,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2022-06/2022-06-23/2022-06-23-41260.png,cancellation-device-support.com,Santander Bank,Grupo Santander,1,0.96061397,/home/fujiao/check/PhishingEval/data/phishing4190/cancellation-device-support.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-09/2021-09-16/2021-09-16-1113.png,giorkle.com,Amazon,Amazon,1,0.97917163,/home/fujiao/check/PhishingEval/data/phishing4190/giorkle.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2022-01/2022-01-15/2022-01-15-9941.png,ryanicolehoward.com,Microsoft,Microsoft,1,0.94654363,/home/fujiao/check/PhishingEval/data/phishing4190/ryanicolehoward.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-09/2021-09-12/2021-09-12-30706.png,cfhuyatakola23.cf,Facebook,,0,None,/home/fujiao/check/PhishingEval/data/phishing4190/cfhuyatakola23.cf,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand0
apwg_sample_4190/2021-09/2021-09-03/2021-09-03-14783.png,185.46.8.71,VTB Bank,,0,0,/home/fujiao/check/PhishingEval/data/phishing4190/185.46.8.71,tagBox1,tagCRPHTML0,tagCRPscreenshot0,tagBrand0
apwg_sample_4190/2021-08/2021-08-29/2021-08-29-53668.png,rebeccakontus.ee,Credit Agricole,Credit Agricole S.A,1,0.9393144,/home/fujiao/check/PhishingEval/data/phishing4190/rebeccakontus.ee,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2021-09/2021-09-03/2021-09-03-15314.png,fishermanager.com,Netflix,,0,0,/home/fujiao/check/PhishingEval/data/phishing4190/fishermanager.com,tagBox0,tagCRPHTML0,tagCRPscreenshot0,tagBrand0
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16733.png,millestroincua.com,DHL,DHL Airways,1,0.9349541,/home/fujiao/check/PhishingEval/data/phishing4190/millestroincua.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
apwg_sample_4190/2023-07/2023-07-27/2023-07-27-35504.png,link.sbstck.com,DHL,,0,0.64094853,/home/fujiao/check/PhishingEval/data/phishing4190/link.sbstck.com,tagBox1,tagCRPHTML0,tagCRPscreenshot1,tagBrand0
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34861.png,hotelciudadsenoras.com,Banco Pichincha,,0,0.72650665,/home/fujiao/check/PhishingEval/data/phishing4190/hotelciudadsenoras.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand0
apwg_sample_4190/2021-07/2021-07-18/2021-07-18-14771.png,www.lioyds-fraud-alert.com,Halifax,Halifax Bank of Scotland Plc,1,0.93436074,/home/fujiao/check/PhishingEval/data/phishing4190/www.lioyds-fraud-alert.com,tagBox1,tagCRPHTML1,tagCRPscreenshot1,tagBrand1
