filename,manipulation,true_brand,pred_brand
2021-07_1046.png,Background,Chase Bank,
2021-07_2072.png,0,Credit Agricole,
2021-07_3324.png,0,PayPal,
2021-07_16335.png,0,Apple,
2021-07_21092.png,Outdated,DHL,
2021-08_3462.png,Ratio or Scale,eBay,
2021-08_10892.png,Color,Timeweb,
2021-08_29500.png,Color,Timeweb,
2021-08_30040.png,Color,Timeweb,
2021-08_47634.png,0,Credit Agricole,
2021-08_52926.png,Combination,Facebook,
2021-09_2309.png,0,Itau,
2021-09_8302.png,0,Adobe,
2021-09_9794.png,Color,Adobe,
2021-09_13964.png,Outdated,DHL,
2021-09_14601.png,Location,WhatsApp,
2021-09_15016.png,Location,WhatsApp,
2021-09_16967.png,Location,WhatsApp,
2021-09_20363.png,Popup,Caisses Desjardins,
2021-09_21387.png,Popup,Caisses Desjardins,
2021-09_22510.png,Background,GoDaddy,
2021-09_22808.png,0,Itau,
2021-09_24440.png,0,Itau,
2021-09_25102.png,0,Itau,
2021-09_30684.png,Color,Facebook,
2021-09_33175.png,0,Itau,
2021-09_36972.png,Popup,Caisses Desjardins,
2021-09_37991.png,Popup,Caisses Desjardins,
2021-10_2596.png,0,Amazon,
2021-10_35983.png,0,DHL,
2021-10_45409.png,Color,Facebook,
2021-10_46867.png,0,DHL,
2021-10_55451.png,0,Sumitomo Mitsui Banking Corporation,
2021-10_65107.png,0,Amazon,
2021-10_144518.png,0,Webmail,
2021-10_145879.png,0,Sumitomo Mitsui Banking Corporation,
2021-10_149981.png,Background,Chase Bank,
2021-10_150349.png,0,Credit Agricole,
2021-10_225810.png,0,Apple,
2021-10_227088.png,Background,Chase Bank,
2021-11_30981.png,Outdated,Microsoft Bing,
2021-11_32199.png,0,YouTube,
2021-11_32884.png,0,PayPal,
2021-11_34311.png,Outdated,Microsoft Bing,
2021-11_36534.png,Outdated,Microsoft Bing,
2021-11_90454.png,0,Santander Bank,
2021-11_91526.png,0,Santander Bank,
2021-11_91887.png,0,Microsoft Bing,
2021-11_92671.png,0,YouTube,
2021-11_95076.png,0,YouTube,
2021-11_95660.png,0,YouTube,
2021-11_95780.png,0,YouTube,
2021-11_96064.png,0,YouTube,
2021-11_96190.png,Outdated,Microsoft Bing,
2021-11_96509.png,0,YouTube,
2021-11_97173.png,0,YouTube,
2021-11_97643.png,Outdated,Microsoft Bing,
2021-11_97699.png,0,YouTube,
2021-11_97961.png,0,YouTube,
2021-11_98232.png,0,Raiffeisen Bank,
2021-11_99357.png,0,Orange,
2021-11_99721.png,0,Orange,
2021-11_99832.png,Background,Chase Bank,
2021-11_100977.png,0,DHL,
2021-11_101030.png,0,Raiffeisen Bank,
2021-11_101857.png,0,Orange,
2021-11_101982.png,0,Orange,
2021-11_102262.png,0,Orange,
2021-11_102778.png,0,DHL,
2021-11_105718.png,0,Sumitomo Mitsui Banking Corporation,
2021-11_112619.png,0,DHL,
2021-11_137149.png,0,Raiffeisen Bank,
2021-11_137626.png,0,Raiffeisen Bank,
2021-11_139169.png,0,Raiffeisen Bank,
2021-11_139286.png,0,Raiffeisen Bank,
2021-11_140104.png,0,Raiffeisen Bank,
2021-11_140870.png,0,Raiffeisen Bank,
2021-11_149438.png,0,Raiffeisen Bank,
2021-11_149584.png,0,Raiffeisen Bank,
2021-11_151087.png,Outdated,Microsoft Bing,
2021-11_151273.png,0,Raiffeisen Bank,
2021-11_151556.png,0,Raiffeisen Bank,
2021-11_152468.png,0,Raiffeisen Bank,
2021-11_153566.png,0,Raiffeisen Bank,
2021-11_153973.png,Popup,Banco do Brasil,
2021-11_155445.png,0,Orange,
2021-11_162166.png,0,YouTube,
2021-11_162216.png,0,YouTube,
2021-11_163148.png,0,YouTube,
2021-11_163526.png,AddTextClose,Societe Generale Group,
2021-11_164517.png,0,YouTube,
2021-11_165742.png,0,YouTube,
2021-11_166607.png,0,YouTube,
2021-11_167017.png,0,YouTube,
2021-11_168888.png,0,YouTube,
2021-11_170412.png,0,YouTube,
2021-11_170918.png,0,Wells Fargo Bank,
2021-11_171416.png,Outdated,Microsoft Bing,
2021-11_172744.png,Outdated,Microsoft Bing,
2021-11_175766.png,Outdated,Microsoft Bing,
2021-11_176290.png,Outdated,Microsoft Bing,
2021-11_176942.png,0,Orange,
2021-11_184901.png,0,Raiffeisen Bank,
2021-11_186125.png,0,LinkedIn,
2021-11_186186.png,0,Raiffeisen Bank,
2021-12_5155.png,Background,GoDaddy,
2022-01_4487.png,0,Apple,
2022-01_9525.png,Color,Adobe,
2022-01_10686.png,Combination,Facebook,
2022-01_17720.png,Background,LinkedIn,
2022-01_20455.png,Color,Adobe,
2022-01_22867.png,0,Adobe,
2022-01_27084.png,0,Adobe,
2022-01_27578.png,0,PayPal,
2022-01_35710.png,Deletion,Facebook,
2022-02_2904.png,0,Facebook,
2022-02_17279.png,TextAsLogo,Swisscom AG,
2022-02_18521.png,Background,Chase Bank,
2022-02_19653.png,Color,Facebook,
2022-02_20729.png,0,WhatsApp,
2022-02_23378.png,Deletion,Facebook,
2022-02_23874.png,Background,GoDaddy,
2022-02_24295.png,Background,GoDaddy,
2022-02_30826.png,0,Facebook,
2022-03_5333.png,Background,GoDaddy,
2022-03_8442.png,0,Facebook,
2022-03_19827.png,0,Orange,
2022-03_25434.png,Location,Instagram,
2022-03_29438.png,Location,Instagram,
2022-03_30043.png,0,Instagram,
2022-03_30717.png,Location,Instagram,
2022-03_31154.png,0,Facebook,
2022-03_35436.png,Outdated,Microsoft Bing,
2022-03_35834.png,Background,GoDaddy,
2022-03_39888.png,Background,GoDaddy,
2022-03_41401.png,Background,GoDaddy,
2022-03_44379.png,Background,GoDaddy,
2022-03_54764.png,Background,GoDaddy,
2022-03_56499.png,Color,Swisscom AG,
2022-03_57148.png,0,Facebook,
2022-03_59821.png,Font,Instagram,
2022-03_60127.png,Font,Instagram,
2022-03_60380.png,Location,Instagram,
2022-03_60839.png,0,WhatsApp,
2022-03_79992.png,0,Credit Agricole,
2022-03_81079.png,Combination,Instagram,
2022-03_83022.png,Font,Instagram,
2022-03_84027.png,Font,Instagram,
2022-03_88109.png,Color,Facebook,
2022-03_91512.png,Font,Instagram,
2022-04_24099.png,0,PayPal,
2022-04_54516.png,0,PayPal,
2022-04_60144.png,Popup,International Card Services,
2022-04_66180.png,Font,Instagram,
2022-04_73730.png,0,PayPal,
2022-04_74562.png,0,PayPal,
2022-04_74679.png,0,PayPal,
2022-04_75395.png,0,PayPal,
2022-04_76063.png,0,GoDaddy,
2022-04_175658.png,Location,WhatsApp,
2022-04_180762.png,Background,GoDaddy,
2022-04_183887.png,Background,GoDaddy,
2022-04_184462.png,0,GoDaddy,
2022-04_186817.png,0,Facebook,
2022-04_232420.png,0,DHL,
2022-04_295532.png,Combination,Facebook,
2022-04_299193.png,Outdated,Microsoft Bing,
2022-04_300972.png,Outdated,Microsoft Bing,
2022-04_302406.png,Outdated,Microsoft Bing,
2022-04_305374.png,Outdated,Microsoft Bing,
2022-04_306538.png,Outdated,Microsoft Bing,
2022-04_308699.png,Outdated,Microsoft Bing,
2022-04_311885.png,Outdated,Microsoft Bing,
2022-04_314697.png,Outdated,Microsoft Bing,
2022-04_315821.png,Outdated,Microsoft Bing,
2022-04_319659.png,Outdated,Microsoft Bing,
2022-04_321356.png,Outdated,Microsoft Bing,
2022-04_323027.png,Outdated,Microsoft Bing,
2022-04_326718.png,Outdated,Microsoft Bing,
2022-04_328370.png,Division,Walmart,
2022-04_369276.png,0,PayPal,
2022-04_381465.png,0,PayPal,
2022-04_382249.png,0,Facebook,
2022-04_382774.png,0,PayPal,
2022-04_386380.png,0,BT Group,
2022-04_387932.png,Outdated,Microsoft Bing,
2022-04_389345.png,Outdated,Microsoft Bing,
2022-04_390248.png,Outdated,Microsoft Bing,
2022-04_393972.png,0,Alaska USA Federal Credit Union,
2022-04_441513.png,0,Google,
2022-04_446520.png,0,Sumitomo Mitsui Banking Corporation,
2022-04_448157.png,TextAsLogo,Facebook,
2022-04_455071.png,Division,Walmart,
2022-04_459168.png,Division,Walmart,
2022-04_467957.png,Location,Instagram,
2022-04_471201.png,Division,Walmart,
2022-04_477356.png,Division,Walmart,
2022-04_488331.png,Division,Walmart,
2022-04_489074.png,Division,Walmart,
2022-04_523721.png,0,PayPal,
2022-04_535961.png,0,PayPal,
2022-04_537869.png,0,PayPal,
2022-05_7765.png,Deletion,Naver Corporation,
2022-05_10320.png,0,Nedbank,
2022-05_15178.png,Deletion,Facebook,
2022-05_16490.png,Deletion,Naver Corporation,
2022-05_16616.png,Deletion,Naver Corporation,
2022-05_23726.png,Ratio or Scale,Facebook,
2022-05_25197.png,Ratio or Scale,Facebook,
2022-05_31064.png,Ratio or Scale,Facebook,
2022-05_33294.png,Popup,International Card Services,
2022-05_34194.png,0,Magazine Luiza,
2022-05_40790.png,Popup,International Card Services,
2022-05_45543.png,Popup,International Card Services,
2022-05_46185.png,Popup,ING Group,
2022-05_49804.png,Color,Facebook,
2022-05_50875.png,0,Facebook,
2022-05_51155.png,Color,Facebook,
2022-05_54336.png,Background,Chase Bank,
2022-05_56342.png,Combination,Facebook,
2022-05_58938.png,Combination,Facebook,
2022-05_60153.png,Deletion,Facebook,
2022-05_62609.png,0,OneDrive,
2022-05_65843.png,Combination,Facebook,
2022-05_67029.png,0,Facebook,
2022-05_78810.png,Combination,Facebook,
2022-05_79303.png,Combination,Facebook,
2022-05_85157.png,Background,GoDaddy,
2022-05_89287.png,0,Facebook,
2022-05_92622.png,Location,Instagram,
2022-05_97609.png,Location,Instagram,
2022-05_107823.png,Color,Facebook,
2022-05_108319.png,Popup,ING Group,
2022-05_112040.png,Color,Facebook,
2022-05_114196.png,Location,Instagram,
2022-05_126481.png,Popup,DHL,
2022-05_144248.png,Font,Instagram,
2022-05_185150.png,0,eBay,
2022-05_202009.png,Color,Facebook,
2022-05_218944.png,0,AT&T,
2022-06_2572.png,Popup,DHL,
2022-06_2652.png,0,eBay,
2022-06_8356.png,Popup,DHL,
2022-06_8556.png,Outdated,Microsoft Bing,
2022-06_8726.png,Deletion,Credit Agricole,
2022-06_11133.png,Popup,DHL,
2022-06_12091.png,Outdated,Microsoft Bing,
2022-06_14332.png,Popup,DHL,
2022-06_24146.png,Outdated,Wells Fargo Bank,
2022-06_101479.png,Color,Facebook,
2022-06_144136.png,0,Facebook,
2022-06_147422.png,Combination,Facebook,
2022-06_213499.png,Combination,Facebook,
2022-06_229415.png,Combination,Facebook,
2022-06_256475.png,Popup,DHL,
2022-06_279835.png,Outdated,Wells Fargo Bank,
2022-06_292550.png,0,DHL,
2022-06_304076.png,Color,Facebook,
2022-06_385478.png,0,Caisses Desjardins,
2022-06_388589.png,Combination,Facebook,
2022-06_492523.png,0,DHL,
2022-06_497541.png,Outdated,Microsoft Bing,
2022-06_499951.png,Popup,DHL,
2022-06_500434.png,Popup,DHL,
2022-06_552085.png,Color,Facebook,
2022-06_554238.png,Deletion,Facebook,
2022-06_565389.png,Popup,DHL,
2022-06_595601.png,Combination,Facebook,
2022-06_654117.png,Combination,Facebook,
2022-07_783.png,Combination,Facebook,
2022-07_972.png,Combination,Facebook,
2022-07_10767.png,Outdated,Wells Fargo Bank,
2022-07_12117.png,Location,Instagram,
2022-07_18676.png,Location,Instagram,
2022-07_20044.png,Location,Instagram,
2022-07_23688.png,Deletion,Facebook,
2022-07_24175.png,Deletion,Facebook,
2022-07_24227.png,0,Alaska USA Federal Credit Union,
2022-07_24546.png,Deletion,Facebook,
2022-07_62718.png,0,Alaska USA Federal Credit Union,
2022-07_66187.png,Location,Facebook,
2022-07_67533.png,Combination,Facebook,
2022-07_85970.png,Color,Facebook,
2022-07_87215.png,0,Facebook,
2022-07_87463.png,0,Facebook,
2022-07_88524.png,0,Facebook,
2022-07_88926.png,0,Facebook,
2022-07_98071.png,Background,Chase Bank,
2022-07_104112.png,Color,Facebook,
2022-07_110597.png,Combination,Facebook,
2022-07_113793.png,0,Facebook,
2022-07_114001.png,0,Alaska USA Federal Credit Union,
2022-07_119153.png,0,Facebook,
2022-08_1244.png,Outdated,Microsoft Bing,
2022-08_2611.png,Outdated,Microsoft Bing,
2022-08_3807.png,Outdated,Microsoft Bing,
2022-08_6971.png,Outdated,Microsoft Bing,
2022-08_8636.png,Outdated,Microsoft Bing,
2022-08_9589.png,0,DHL,
2022-08_9685.png,Popup,DHL,
2022-08_10108.png,Popup,DHL,
2022-08_19110.png,Deletion,Facebook,
