scr_path,true_brand,pred_brand,pred_score,pred_target_list,pred_score_list
apwg_sample_4190/2021-11/2021-11-16/2021-11-16-81737.png,Shopify,Orange,0.9291526097216996,"['Orange', 'Orange', 'sharp', 'Daum', 'db']","[0.9291526097216996, 0.9275859678826235, 0.9220740047027268, 0.9216284881200918, 0.9193171519785921]"
apwg_sample_4190/2021-10/2021-10-23/2021-10-23-143913.png,Instagram,Government of Canada,0.9326486179839091,"['Government of Canada', 'Bank of America', 'Bank of America', 'knab', 'smiles']","[0.9326486179839091, 0.9303665621968926, 0.9303665621968926, 0.9284055978755466, 0.9282814916224914]"
apwg_sample_4190/2022-06/2022-06-09/2022-06-09-571681.png,PayPal,Bank of Montreal,0.9498719481899335,"['Bank of Montreal', 'Bank of Montreal', 'Bank of Montreal', 'bahia', '1&1 Ionos']","[0.9498719481899335, 0.9498719481899335, 0.9498719481899335, 0.9494958571693296, 0.9479759566836083]"
apwg_sample_4190/2023-02/2023-02-25/2023-02-25-7497.png,AT&T,"Twitter, Inc",0.9255493765783864,"['Twitter, Inc', 'LinkedIn Corporation', 'infinisource', 'la_banque_postale', 'Twitter, Inc']","[0.9255493765783864, 0.9235856783830682, 0.9216557626893078, 0.9200563070007757, 0.9193191654745957]"
apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16978.png,Itau,mbank,0.9235252003315817,"['mbank', 'arnet_tech', 'ziggo', 'Microsoft OneDrive', 'AOL']","[0.9235252003315817, 0.922835895926724, 0.9210735875482238, 0.9192535593379738, 0.9189896109267816]"
apwg_sample_4190/2021-10/2021-10-09/2021-10-09-173796.png,Facebook,,0,[],[]
apwg_sample_4190/2021-08/2021-08-17/2021-08-17-33871.png,VTB Bank,,0,[],[]
apwg_sample_4190/2021-09/2021-09-06/2021-09-06-16856.png,LinkedIn,cryptobridge,0.9451363389763942,"['cryptobridge', 'cryptobridge', 'typeform', 'typeform', 'Bank of America']","[0.9451363389763942, 0.9451363389763942, 0.9415355588962442, 0.9415112349359538, 0.9400960559711665]"
apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3566.png,PayPal,Bank of Montreal,0.9469171435706615,"['Bank of Montreal', 'Bank of Montreal', 'Bank of Montreal', 'banco_de_occidente', '1&1 Ionos']","[0.9469171435706615, 0.9469171435706615, 0.9469171435706615, 0.9450703880988198, 0.9443218120160751]"
apwg_sample_4190/2021-09/2021-09-21/2021-09-21-234.png,Rabobank,,0,[],[]
apwg_sample_4190/2022-01/2022-01-05/2022-01-05-8469.png,Internal Revenue Service,IRS,0.9392382497735766,"['IRS', 'IRS', 'erste', 'fsnb', 'IRS']","[0.9392382497735766, 0.9375387721808429, 0.9275491545352497, 0.9247422862300892, 0.9236222533501693]"
apwg_sample_4190/2022-03/2022-03-03/2022-03-03-75947.png,Chase Bank,barclays,0.941996216753079,"['barclays', 'walmart', 'grupo_bancolombia', 'grupo_bancolombia', 'grupo_bancolombia']","[0.941996216753079, 0.9414858284924801, 0.9414671118113536, 0.9405595478711032, 0.9405595478711032]"
apwg_sample_4190/2021-08/2021-08-15/2021-08-15-34392.png,Credit Agricole,fsnb,0.9357748472825275,"['fsnb', 'Microsoft OneDrive', 'Government of Canada', 'banco_de_occidente', 'Bank of Montreal']","[0.9357748472825275, 0.9352794990095982, 0.9343726348905397, 0.9316079634525023, 0.9309300545871613]"
apwg_sample_4190/2021-09/2021-09-23/2021-09-23-20265.png,Chase Bank,Chase Personal Banking,0.9403255269694448,"['Chase Personal Banking', 'BNP Paribas', 'BNP Paribas', 'BNP Paribas', 'BNP Paribas']","[0.9403255269694448, 0.9397506512276261, 0.9395476730068151, 0.9389024766986327, 0.9388247362169803]"
