filename	url	phish_prediction	target_prediction	has_logo	brand_inside_targetlist	found_knowledge	knowledge_discovery_branch	runtime_breakdown(PhishIntention|Knowledge_discovery|Web_interaction)
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-11/2021-11_81737.png	https://myshopupdated.com/shopify/	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-10/2021-10_143913.png	https://oc-caught-healing-pin.trycloudflare.com/login.html	1	Instagram	True	True	False	None	0.3210794925689697|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-06/2022-06_571681.png	http://103.157.253.194/HYfsgdknDioasjfADhaf/SocialPhish-master/sites/paypal/	1	PayPal	True	True	False	None	0.28278017044067383|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2023-02/2023-02_7497.png	https://maricruzrvr.wixsite.com/my-site	1	AT&T	True	True	False	None	1.078723669052124|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-07/2021-07_16978.png	https://302721e7-4e4e-415a-90ef-c32e6f66c17d.id.repl.co/tarjeta	1	Itau Unibanco S.A	True	True	False	None	0.5332257747650146|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-10/2021-10_173796.png	https://images-r0y9yp964.salamazerbaycan.az/connect.html	1	Facebook	True	True	False	None	0.29098081588745117|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_33871.png	http://193.142.59.224/	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_16856.png	http://www.linkedin.com/company/1482?trk=tyah&utm_source=unp&utm_medium=email&utm_campaign=PPC001280&utm_unptid=4a8103aa-0ef3-11ec-ad2e-3cfdfeef81f4&ppid=PPC001280&cnac=CA&rsta=en_CA&cust=YVBZF8YYMYSSQ&unptid=4a8103aa-0ef3-11ec-ad2e-3cfdfeef81f4&calc=2aece642bb1a6&unp_tpcid=IRS_1099_K_Pre_Warning&page=main:email:PPC001280:::&pgrp=main:email&e=cl&mchn=em&s=ci&mail=sys&xt=116871,104038&unp_adv=false	1	LinkedIn Corporation	True	True	False	None	0.6611125469207764|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-07/2021-07_3566.png	https://www.scurelimited-paypal-sign.cloudns.cl/	1	PayPal	True	True	False	None	0.29756689071655273|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_234.png	https://mystifying-hodgkin.109-71-253-24.plesk.page/sw6	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-01/2022-01_8469.png	https://web-irs-ein.com/form/Credit_info	1	IRS	True	True	False	None	0.4334678649902344|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-03/2022-03_75947.png	https://sl.al/ioi2wn	1	Chase Personal Banking	True	True	False	None	0.38610219955444336|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_34392.png	http://censor.be/wordpress/CA%203.0/20b30acdc19312ac791ebadc9a6d1bd6/	0	None	True	True	False	None	0.48123931884765625|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_20265.png	https://vacunatearg.mineolo.com/wp-includes/assets/web/web/Home/	1	Chase Personal Banking	True	True	False	None	0.3907961845397949|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-10/2021-10_26716.png	https://radiomanantial.cl/voice/new/	1	Microsoft	True	True	False	None	0.3152477741241455|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-06/2022-06_41260.png	http://cancellation-device-support.com/App/	1	Grupo Santander	True	True	False	None	0.2630300521850586|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_1113.png	http://giorkle.com/mazon/amazon	1	Amazon	True	True	False	None	0.42198657989501953|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-01/2022-01_9941.png	https://ryanicolehoward.com/MedconDocs/Odrivex/	1	Microsoft	True	True	False	None	0.4648396968841553|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_30706.png	http://cfhuyatakola23.cf/philem/	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_14783.png	https://185.46.8.71/	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_53668.png	http://rebeccakontus.ee/wp-content/service	1	Credit Agricole S.A	True	True	False	None	0.45965576171875|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_15314.png	https://fishermanager.com/log/3484f2bfdc496ac/login.php	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-07/2021-07_16733.png	https://millestroincua.com/~ldhat/cgi-bln/dhl.com/DHL/	1	DHL Airways	True	True	False	None	0.2887763977050781|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2023-07/2023-07_35504.png	https://link.sbstck.com/redirect/2e141f0a-6daf-4400-8303-743d8e3bb216?j=eyJ1IjoiMm1oZDZ5In0.QJGwWM4nAmCAB9kGtCcHDV_ro41M2OSnemAjhrwtDLc	0	None	True	False	False	failure_no_result_from_logo_detection	0|0.23680567741394043|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_34861.png	http://hotelciudadsenoras.com/index.php/false/false/py1n.html/discovercard.com/dfs/accounthome/summary/-www.schwab.com/secure.accurint.com/unfcu2.org/login1/wachovia.com/myaccounts.aspx/investing.schwab.com/secure/schwab/sci	0	None	True	False	False	failure_no_result_from_gsearch	0|0.2791309356689453|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-07/2021-07_14771.png	https://www.lioyds-fraud-alert.com/Login.php	1	Halifax Bank of Scotland Plc	True	True	False	None	0.3059394359588623|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_36500.png	http://128.199.174.138/duccprom026/	1	Facebook	True	True	False	None	0.44814610481262207|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-09/2021-09_22904.png	https://laraapi.technopremium.com/lost/home/particulares.php?logon=set&a3ffa2fb2b8fb9bf5	1	Grupo Santander	True	True	False	None	0.37171316146850586|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2023-05/2023-05_27714.png	http://cleaningspot.co.uk/modules/cronjobs/translations/css/app/AP	0	None	True	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_17691.png	https://www.palladiumfrance.com/index.php/false/false/py1n.html/discovercard.com/dfs/accounthome/summary/-www.schwab.com/secure.accurint.com/unfcu2.org/login1/wachovia.com/myaccounts.aspx/investing.schwab.com/secure/schwab/https:/snsbank.nl/sca.php	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-03/2022-03_46954.png	https://selincourse.buzz/file/Office365/	1	Adobe	True	True	False	None	0.27666401863098145|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-06/2022-06_184916.png	http://demo.webnappmaker.in/us/adobe-3D6/	1	Adobe	True	True	False	None	0.31023526191711426|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2022-04/2022-04_73697.png	https://madstsvvdfocxxxm-6079492.jcloud.kz/	1	Microsoft	True	True	False	None	0.46152496337890625|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-08/2021-08_11122.png	https://0-z-o.pp.ru/xiaomi_redmi_Note_9	0	None	False	False	False	None	0|0|0|0
/dataset/fujiao/33_APWG_2160933_dataset/desktop_2160933_screenshot/2021-10/2021-10_64209.png	https://anasps.ibbca.com.br/Mio784/	1	Chase Personal Banking	True	True	False	None	0.37567687034606934|0|0|0
